id,domain,portal_system,portal_subdomain,confidence,detection_method,validated,validation_website,error,timestamp,created_at,updated_at
1809,propropmgmt.net,appfolio,proprop.appfolio.com,medium,subdomain_probe,0,,,2026-02-02T02:58:16.944991,2026-02-13 07:00:10,2026-02-13 07:00:10
1810,mycdrs.org,propertyboss,resident.capdevrs_142309.propertyboss.net,high,secondary_page:/current-residents,0,,,2026-02-02T02:58:58.564327,2026-02-13 07:00:10,2026-02-13 07:00:10
1811,sunstonepm.com,appfolio,sunstonepropertymanagementinc.appfolio.com,high,homepage_fetch,1,http://www.sunstonepm.com,,2026-02-02T02:59:25.048723,2026-02-13 07:00:10,2026-02-13 07:00:10
1812,saddlebackhouses.com,appfolio,,high,homepage_fetch,0,,,2026-02-02T02:59:29.365792,2026-02-13 07:00:10,2026-02-13 07:00:10
1813,missioncitypm.com,rentvine,missioncitypm.rentvine.com,high,homepage_fetch,0,,,2026-02-02T02:59:34.587647,2026-02-13 07:00:10,2026-02-13 07:00:10
1815,mandarinoproperties.com,appfolio,mandarino.appfolio.com,low,homepage_fetch,0,,,2026-02-02T02:59:44.692022,2026-02-13 07:00:10,2026-02-13 07:00:10
1816,velo-management.com,appfolio,velomanagement.appfolio.com,high,homepage_fetch,1,http://www.velo-management.com,,2026-02-02T02:59:46.258155,2026-02-13 07:00:10,2026-02-13 07:00:10
1818,smartpropertyservicesinc.com,appfolio,,high,homepage_fetch,0,,,2026-02-02T03:01:06.932961,2026-02-13 07:00:10,2026-02-13 07:00:10
1819,vpmsc.com,buildium,vpmsc.managebuilding.com,medium,subdomain_probe,0,,,2026-02-02T02:55:49.266134,2026-02-13 07:00:10,2026-02-13 07:00:10
1821,rpmbella.com,appfolio,RPMCA117.appfolio.com,high,secondary_page:/tenants/,1,http://www.rpmbella.com,,2026-02-02T03:02:33.791398,2026-02-13 07:00:10,2026-02-13 07:00:10
1822,ontimemgmt.com,appfolio,,high,homepage_fetch,0,,,2026-02-02T03:02:42.299605,2026-02-13 07:00:10,2026-02-13 07:00:10
1823,wemanage.us,appfolio,,high,homepage_fetch,0,,,2026-02-02T03:02:43.068080,2026-02-13 07:00:10,2026-02-13 07:00:10
1826,rpmventura.com,appfolio,rpmca102.appfolio.com,high,secondary_page:/tenants/,1,http://www.rpmventura.com,,2026-02-02T03:03:39.851361,2026-02-13 07:00:10,2026-02-13 07:00:10
1828,riegelpropertymanagement.com,appfolio,,high,homepage_fetch,0,,,2026-02-02T03:04:31.396575,2026-02-13 07:00:10,2026-02-13 07:00:10
1829,newportbeachvacationproperties.com,appfolio,balboarealty.appfolio.com,low,homepage_fetch,0,,,2026-02-02T03:04:32.129616,2026-02-13 07:00:10,2026-02-13 07:00:10
1830,ohanaproperties.com,appfolio,ohana.appfolio.com,high,homepage_fetch,1,http://www.ohanaproperties.com,,2026-02-02T03:04:46.956906,2026-02-13 07:00:10,2026-02-13 07:00:10
1831,uprealtyca.com,appfolio,uprealty.appfolio.com,high,homepage_fetch,1,http://www.uprealtyca.com,,2026-02-02T03:05:01.629616,2026-02-13 07:00:10,2026-02-13 07:00:10
1833,monticellopm.com,appfolio,monticello.appfolio.com,high,homepage_fetch,1,http://www.monticellopm.com,,2026-02-02T03:06:23.785915,2026-02-13 07:00:10,2026-02-13 07:00:10
1834,marterraproperties.com,appfolio,,high,homepage_fetch,0,,,2026-02-02T03:06:33.125079,2026-02-13 07:00:10,2026-02-13 07:00:10
1835,propropinc.com,appfolio,propropmanagement.appfolio.com,high,homepage_fetch,1,http://propropinc.com,,2026-02-02T03:06:34.462462,2026-02-13 07:00:10,2026-02-13 07:00:10
1836,sppropertymanagement.com,appfolio,,high,homepage_fetch,0,,,2026-02-02T03:06:59.956277,2026-02-13 07:00:10,2026-02-13 07:00:10
1838,primior.com,appfolio,primior.appfolio.com,high,subdomain_probe,1,http://www.primior.com,,2026-02-02T03:06:25.121343,2026-02-13 07:00:10,2026-02-13 07:00:10
1840,turnkeyrealpropertymanagement.com,buildium,turnkeyrealproperty.managebuilding.com,high,homepage_fetch,0,,,2026-02-02T03:08:03.720051,2026-02-13 07:00:10,2026-02-13 07:00:10
1841,wmgproperties.net,appfolio,,high,homepage_fetch,0,,,2026-02-02T03:08:25.718322,2026-02-13 07:00:10,2026-02-13 07:00:10
1842,prestigerepro.com,buildium,prestigerealestateandpropertymanagement.managebuilding.com,high,homepage_fetch,0,,,2026-02-02T03:08:26.641901,2026-02-13 07:00:10,2026-02-13 07:00:10
1843,powleypropertiesinc.com,appfolio,,high,homepage_fetch,0,,,2026-02-02T03:08:31.227514,2026-02-13 07:00:10,2026-02-13 07:00:10
1844,treasuredpropertiesmanagement.com,appfolio,treyes.appfolio.com,high,homepage_fetch,1,,,2026-02-02T03:08:33.717933,2026-02-13 07:00:10,2026-02-13 07:00:10
1845,specializedrealty.com,appfolio,,high,link_redirect:followed_link:pay rent online,0,,,2026-02-02T03:07:44.484520,2026-02-13 07:00:10,2026-02-13 07:00:10
1846,vasonamgmt.com,yardi,,high,homepage_fetch,0,,,2026-02-02T03:08:36.953986,2026-02-13 07:00:10,2026-02-13 07:00:10
1847,sunshineproperties-ca.com,appfolio,sunshineproperties.appfolio.com,high,homepage_fetch,1,,,2026-02-02T03:08:37.951075,2026-02-13 07:00:10,2026-02-13 07:00:10
1848,modestopropertymanagementinc.com,rentvine,pmicentralvalley.rentvine.com,high,homepage_fetch,0,,,2026-02-02T03:09:30.727156,2026-02-13 07:00:10,2026-02-13 07:00:10
1849,rentals180.com,appfolio,,high,homepage_fetch,0,,,2026-02-02T03:09:31.803557,2026-02-13 07:00:10,2026-02-13 07:00:10
1850,matelprop.com,appfolio,matelpm.appfolio.com,high,homepage_fetch,1,http://www.matelprop.com,,2026-02-02T03:10:00.446658,2026-02-13 07:00:10,2026-02-13 07:00:10
1851,yoderproperties.com,appfolio,yoderealty.appfolio.com,high,homepage_fetch,1,http://yoderproperties.com,,2026-02-02T03:10:02.243510,2026-02-13 07:00:10,2026-02-13 07:00:10
1852,newwayservices.com,appfolio,,high,homepage_fetch,0,,,2026-02-02T03:11:08.116653,2026-02-13 07:00:10,2026-02-13 07:00:10
1853,winecountrypm.com,appfolio,winecountrypm.appfolio.com,high,subdomain_probe,1,http://www.winecountrypm.com,,2026-02-02T03:10:05.241221,2026-02-13 07:00:10,2026-02-13 07:00:10
1855,superiorhomerealty.com,buildium,superiorhomerealtypropertymanagement.managebuilding.com,high,homepage_fetch,0,,,2026-02-02T03:12:18.612096,2026-02-13 07:00:10,2026-02-13 07:00:10
1856,woodruffmanagementgroup.com,appfolio,woodruffmanagement.appfolio.com,medium,subdomain_probe,0,,,2026-02-02T03:12:21.850250,2026-02-13 07:00:10,2026-02-13 07:00:10
1857,santarosapropertymanager.com,appfolio,kpmpropertymgmt.appfolio.com,low,homepage_fetch,0,,,2026-02-02T03:13:09.275923,2026-02-13 07:00:10,2026-02-13 07:00:10
1858,rentmyhaven.com,rentvine,myhavengroup.rentvine.com,high,homepage_fetch,0,,,2026-02-02T03:13:11.623249,2026-02-13 07:00:10,2026-02-13 07:00:10
1861,rentabr.com,appfolio,associatedbr.appfolio.com,high,homepage_fetch,1,http://www.rentabr.com,,2026-02-02T03:14:03.027806,2026-02-13 07:00:10,2026-02-13 07:00:10
1862,trihomelife.com,rentvine,trihomelife.rentvine.com,high,homepage_fetch,0,,,2026-02-02T03:14:15.070442,2026-02-13 07:00:10,2026-02-13 07:00:10
1864,propalliance.com,appfolio,propertyalliance.appfolio.com,high,homepage_fetch,1,http://www.propalliance.com,,2026-02-02T03:14:29.833976,2026-02-13 07:00:10,2026-02-13 07:00:10
1865,propertyresources.net,appfolio,,high,homepage_fetch,0,,,2026-02-02T03:14:53.394104,2026-02-13 07:00:10,2026-02-13 07:00:10
1867,timberlinepm.com,appfolio,tpm.appfolio.com,high,homepage_fetch,1,http://www.timberlinepm.com,,2026-02-02T03:15:20.374811,2026-02-13 07:00:10,2026-02-13 07:00:10
1868,tristarpropertymgmt.com,buildium,tristarpropertymgmt.managebuilding.com,high,homepage_fetch,0,,,2026-02-02T03:15:22.455469,2026-02-13 07:00:10,2026-02-13 07:00:10
1869,rent-colorado.com,appfolio,remaxrgpmd.appfolio.com,high,homepage_fetch,1,http://www.rent-colorado.com,,2026-02-02T03:15:50.997825,2026-02-13 07:00:10,2026-02-13 07:00:10
1870,propertymanagementdenver.co,appfolio,longrealtyproperty.appfolio.com,low,homepage_fetch,0,,,2026-02-02T03:15:52.531495,2026-02-13 07:00:10,2026-02-13 07:00:10
1871,unlimitedreco.com,rentvine,unlimitedrellc.rentvine.com,high,homepage_fetch,0,,,2026-02-02T03:15:55.099595,2026-02-13 07:00:10,2026-02-13 07:00:10
1872,thepropertyguys.com,buildium,tpg.managebuilding.com,high,homepage_fetch,0,,,2026-02-02T03:16:00.215930,2026-02-13 07:00:10,2026-02-13 07:00:10
1873,peakpmelevated.com,propertyboss,app_pkr001_93725.propertyboss.net,high,homepage_fetch,0,,,2026-02-02T03:18:41.112546,2026-02-13 07:00:10,2026-02-13 07:00:10
1874,phoenixrealtyinc.com,rentvine,phoenixrealtypropertymanagement.rentvine.com,high,homepage_fetch,0,,,2026-02-02T03:18:41.715130,2026-02-13 07:00:10,2026-02-13 07:00:10
1877,mapletonmgmt.com,rentmanager,prinprop.twa.rentmanager.com,high,homepage_fetch,0,,,2026-02-02T03:19:09.476985,2026-02-13 07:00:10,2026-02-13 07:00:10
1878,raelynnmanagement.com,appfolio,,high,homepage_fetch,0,,,2026-02-02T03:19:10.105318,2026-02-13 07:00:10,2026-02-13 07:00:10
1879,sentinelmgmt.com,appfolio,sentinelpm.appfolio.com,medium,subdomain_probe,0,,,2026-02-02T03:18:42.803023,2026-02-13 07:00:10,2026-02-13 07:00:10
1880,unitedmanagement.org,appfolio,unitedproperties.appfolio.com,medium,subdomain_probe,0,,,2026-02-02T03:19:12.671023,2026-02-13 07:00:10,2026-02-13 07:00:10
1881,pueblo-rentals.com,appfolio,elitepropertymanagementpw.appfolio.com,low,homepage_fetch,0,,,2026-02-02T03:20:04.376905,2026-02-13 07:00:10,2026-02-13 07:00:10
1882,puebloarearentals.com,appfolio,,high,homepage_fetch,0,,,2026-02-02T03:20:14.550025,2026-02-13 07:00:10,2026-02-13 07:00:10
1883,peakproperty.net,buildium,peakpropertymanagementco1.managebuilding.com,high,homepage_fetch,0,,,2026-02-02T03:20:15.309542,2026-02-13 07:00:10,2026-02-13 07:00:10
1884,rentfortcollins.com,yardi,,high,homepage_fetch,0,,,2026-02-02T03:20:16.689376,2026-02-13 07:00:10,2026-02-13 07:00:10
1886,thepmco.com,buildium,thepmco.managebuilding.com,high,homepage_fetch,0,,,2026-02-02T03:20:23.699161,2026-02-13 07:00:10,2026-02-13 07:00:10
1887,triplacestolive.com,appfolio,tri.appfolio.com,high,homepage_fetch,1,http://www.triplacestolive.com/,,2026-02-02T03:20:25.121577,2026-02-13 07:00:10,2026-02-13 07:00:10
1888,palmerpropertiesco.com,yardi,,high,homepage_fetch,0,,,2026-02-02T03:20:38.445168,2026-02-13 07:00:10,2026-02-13 07:00:10
1889,nococasa.com,buildium,casarealtyandpropertymanagement.managebuilding.com,high,homepage_fetch,0,,,2026-02-02T03:20:42.527413,2026-02-13 07:00:10,2026-02-13 07:00:10
1890,mascotproperties.com,doorloop,mascotproperties.app.doorloop.com,high,secondary_page:/owner-tenant-portal,0,,,2026-02-02T03:20:43.129155,2026-02-13 07:00:10,2026-02-13 07:00:10
1891,trilogyrents.com,appfolio,,high,homepage_fetch,0,,,2026-02-02T03:21:09.258898,2026-02-13 07:00:10,2026-02-13 07:00:10
1892,oldtownsq.com,appfolio,oldtownsquare.appfolio.com,low,homepage_fetch,0,,,2026-02-02T03:21:09.933868,2026-02-13 07:00:10,2026-02-13 07:00:10
1893,rdime.com,propertyware,rdime.propertyware.com,medium,subdomain_probe,0,,,2026-02-02T03:20:21.945546,2026-02-13 07:00:10,2026-02-13 07:00:10
1894,richmarkpm.com,realpage,login.loftliving.com,high,link_redirect:residents,0,,,2026-02-02T03:21:20.901953,2026-02-13 07:00:10,2026-02-13 07:00:10
1895,rentpropm.com,buildium,rentpropm.managebuilding.com,high,homepage_fetch,0,,,2026-02-02T03:22:04.263841,2026-02-13 07:00:10,2026-02-13 07:00:10
1896,trifectamgt.com,buildium,trifectamgt.managebuilding.com,high,homepage_fetch,0,,,2026-02-02T03:22:22.254532,2026-02-13 07:00:10,2026-02-13 07:00:10
1897,premierpropertygj.com,propertyware,app.propertyware.com,high,homepage_fetch,0,,,2026-02-02T03:23:15.849895,2026-02-13 07:00:10,2026-02-13 07:00:10
1899,youramericanpropertysolutions.com,appfolio,2Famericanpropertysolutions.appfolio.com,low,homepage_fetch,0,,,2026-02-02T03:23:25.764763,2026-02-13 07:00:10,2026-02-13 07:00:10
1900,re-avail.com,buildium,re-avail.managebuilding.com,high,homepage_fetch,0,,,2026-02-02T03:23:28.366353,2026-02-13 07:00:10,2026-02-13 07:00:10
1902,morethanhomemgt.com,appfolio,,high,homepage_fetch,0,,,2026-02-02T03:23:35.040469,2026-02-13 07:00:10,2026-02-13 07:00:10
1903,yourpropm.com,appfolio,proproperty.appfolio.com,high,secondary_page:/residents/,1,http://www.yourpropm.com,,2026-02-02T03:23:36.875499,2026-02-13 07:00:10,2026-02-13 07:00:10
1905,modernpropertyservices.com,appfolio,modernpropertymanagement.appfolio.com,medium,subdomain_probe,0,,,2026-02-02T03:23:16.911393,2026-02-13 07:00:10,2026-02-13 07:00:10
1906,parkvillemanagement.com,rentmanager,pkvllc.twa.rentmanager.com,high,homepage_fetch,0,,,2026-02-02T03:23:58.941216,2026-02-13 07:00:10,2026-02-13 07:00:10
1907,propertymanagect.com,appfolio,,high,homepage_fetch,0,,,2026-02-02T03:24:00.579138,2026-02-13 07:00:10,2026-02-13 07:00:10
1908,stantonpm.com,appfolio,mt.appfolio.com,low,homepage_fetch,0,,,2026-02-02T03:24:30.290767,2026-02-13 07:00:10,2026-02-13 07:00:10
1909,maplegroupmanagement.com,managego,maplegroup.managego.com,high,homepage_fetch,0,,,2026-02-02T03:24:32.327930,2026-02-13 07:00:10,2026-02-13 07:00:10
1911,thevisionmanagement.com,rentmanager,vmm.twa.rentmanager.com,high,homepage_fetch,0,,,2026-02-02T03:25:57.706326,2026-02-13 07:00:10,2026-02-13 07:00:10
1912,primemanagementct.com,rentmanager,primeman.owa.rentmanager.com,high,homepage_fetch,0,,,2026-02-02T03:25:55.158390,2026-02-13 07:00:10,2026-02-13 07:00:10
1913,managedbybluestone.com,appfolio,,high,homepage_fetch,0,,,2026-02-02T03:27:20.427350,2026-02-13 07:00:10,2026-02-13 07:00:10
1914,newhavenpropertymanagementinc.com,rentvine,pmigoldenhaven.rentvine.com,high,homepage_fetch,0,,,2026-02-02T03:27:52.731855,2026-02-13 07:00:10,2026-02-13 07:00:10
1916,wawepropertymanagement.com,yardi,,high,homepage_fetch,0,,,2026-02-02T03:30:06.542842,2026-02-13 07:00:10,2026-02-13 07:00:10
1917,rpmdepenn.com,appfolio,rpmny010.appfolio.com,high,secondary_page:/tenants/,1,http://www.rpmdepenn.com,,2026-02-02T03:30:07.425324,2026-02-13 07:00:10,2026-02-13 07:00:10
1918,royalbluemgmt.com,appfolio,2Froyalbluepm.appfolio.com,low,homepage_fetch,0,,,2026-02-02T03:30:32.758825,2026-02-13 07:00:10,2026-02-13 07:00:10
1919,ngiassetmgmt.com,appfolio,ngiassetmanagement.appfolio.com,high,subdomain_probe,1,http://www.ngiassetmgmt.com,,2026-02-02T03:30:35.919136,2026-02-13 07:00:10,2026-02-13 07:00:10
1920,rms-companies.com,yardi,the-asher3-rentcafewebsite.rentcafe.com,high,homepage_fetch,0,,,2026-02-02T03:31:27.494901,2026-02-13 07:00:10,2026-02-13 07:00:10
1921,sbrmgmt.com,appfolio,stonebridgerealty.appfolio.com,low,secondary_page:/tenant-portal,0,,,2026-02-02T03:31:15.982440,2026-02-13 07:00:10,2026-02-13 07:00:10
1922,newenglandpropertymanagementllc.com,buildium,nepropertymanagementllc.managebuilding.com,high,homepage_fetch,0,,,2026-02-02T03:31:43.209409,2026-02-13 07:00:10,2026-02-13 07:00:10
1923,sbgarsonmanagement.com,appfolio,sbgm.appfolio.com,high,secondary_page:/availability/,1,,,2026-02-02T03:31:31.896588,2026-02-13 07:00:10,2026-02-13 07:00:10
1924,stamfordctpropertymanagement.com,rentvine,theprevailinggroupllc.rentvine.com,high,homepage_fetch,0,,,2026-02-02T03:32:00.263948,2026-02-13 07:00:10,2026-02-13 07:00:10
1925,totalrealtyassoc.com,appfolio,totalrealtyassoc.appfolio.com,high,homepage_fetch,1,,,2026-02-02T03:32:01.407932,2026-02-13 07:00:10,2026-02-13 07:00:10
1926,whitemgmt.com,appfolio,whiterealty.appfolio.com,medium,subdomain_probe,0,,,2026-02-02T03:32:09.897848,2026-02-13 07:00:10,2026-02-13 07:00:10
1927,preservationmanagement.com,realpage,,high,secondary_page:/pay-your-rent/,0,,,2026-02-02T03:32:52.203269,2026-02-13 07:00:10,2026-02-13 07:00:10
1928,tarebmgmt.com,appfolio,tarebmgmt.appfolio.com,medium,subdomain_probe,0,,,2026-02-02T03:33:44.522825,2026-02-13 07:00:10,2026-02-13 07:00:10
1929,stellarmanagement.com,yardi,stellarmanagement.rentcafe.com,high,secondary_page:/resident_portal_maintenance.aspx,0,,,2026-02-02T03:36:03.524655,2026-02-13 07:00:10,2026-02-13 07:00:10
1930,mcprent.com,appfolio,,high,homepage_fetch,0,,,2026-02-02T03:36:48.395335,2026-02-13 07:00:10,2026-02-13 07:00:10
1931,rpmbaystatewest.com,appfolio,RPMMA010.appfolio.com,high,secondary_page:/tenants/,1,http://www.rpmbaystatewest.com,,2026-02-02T03:37:29.029776,2026-02-13 07:00:10,2026-02-13 07:00:10
1932,mekalmgmt.com,appfolio,mekalmgmt.appfolio.com,high,subdomain_probe,1,http://mekalmgmt.com,,2026-02-02T03:36:49.076698,2026-02-13 07:00:10,2026-02-13 07:00:10
1933,tinkhammanagement.com,buildium,tinkham.managebuilding.com,high,homepage_fetch,0,,,2026-02-02T03:39:35.929501,2026-02-13 07:00:10,2026-02-13 07:00:10
1934,searspm.com,appfolio,searspm.appfolio.com,high,homepage_fetch,1,http://www.searspm.com,,2026-02-02T03:39:37.576766,2026-02-13 07:00:10,2026-02-13 07:00:10
1935,raveis.com,custom:raveis365.com,,medium,homepage_custom_portal,0,,,2026-02-02T03:40:42.638349,2026-02-13 07:00:10,2026-02-13 07:00:10
1936,phillypm.com,buildium,phillypm.managebuilding.com,high,homepage_fetch,0,,,2026-02-02T03:43:10.639400,2026-02-13 07:00:10,2026-02-13 07:00:10
1937,tierviewpropertymanagement.com,appfolio,tierview.appfolio.com,low,homepage_fetch,0,,,2026-02-02T03:43:18.645566,2026-02-13 07:00:10,2026-02-13 07:00:10
1938,mpmdc.com,buildium,magdielipropertymanagementllc.managebuilding.com,high,homepage_fetch,0,,,2026-02-02T03:43:24.671351,2026-02-13 07:00:10,2026-02-13 07:00:10
1939,rentsimplepm.com,appfolio,rentsimplepm.appfolio.com,high,homepage_fetch,1,http://www.rentsimplepm.com,,2026-02-02T03:44:06.774558,2026-02-13 07:00:10,2026-02-13 07:00:10
1940,rentthedistrict.com,appfolio,rentthedistrict.appfolio.com,high,subdomain_probe,1,http://www.rentthedistrict.com,,2026-02-02T03:43:26.509701,2026-02-13 07:00:10,2026-02-13 07:00:10
1942,washingtonpropertygroup.com,propertyware,app.propertyware.com,high,homepage_fetch,0,,,2026-02-02T03:45:16.563227,2026-02-13 07:00:10,2026-02-13 07:00:10
1943,myttpm.com,buildium,myttpm.managebuilding.com,high,homepage_fetch,0,,,2026-02-02T03:45:55.339939,2026-02-13 07:00:10,2026-02-13 07:00:10
1944,rentwithsynergy.com,appfolio,synergymanagement.appfolio.com,high,homepage_fetch,1,http://www.rentwithsynergy.com,,2026-02-02T03:45:56.185508,2026-02-13 07:00:10,2026-02-13 07:00:10
1945,propertyspecialistsinc.com,appfolio,propertyspecialists.appfolio.com,high,homepage_fetch,1,,,2026-02-02T03:45:57.687292,2026-02-13 07:00:10,2026-02-13 07:00:10
1947,mcenearneypm.com,appfolio,mcenearney.appfolio.com,high,homepage_fetch,1,http://www.mcenearneypm.com,,2026-02-02T03:46:18.950050,2026-02-13 07:00:10,2026-02-13 07:00:10
1948,washcomanagement.net,yardi,washcomanagement.rentcafe.com,high,homepage_fetch,0,,,2026-02-02T03:46:20.588678,2026-02-13 07:00:10,2026-02-13 07:00:10
1950,rpmwashingtondc.com,appfolio,rpmdc001.appfolio.com,low,secondary_page:/tenants/,0,,,2026-02-02T03:46:39.368772,2026-02-13 07:00:10,2026-02-13 07:00:10
1951,mckennavanepm.com,appfolio,mckennavanepm.appfolio.com,high,subdomain_probe,1,http://www.mckennavanepm.com,,2026-02-02T03:46:03.855741,2026-02-13 07:00:10,2026-02-13 07:00:10
1952,streamlinemanagement.com,appfolio,2Fstreamlinemgmt2.appfolio.com,low,homepage_fetch,0,,,2026-02-02T03:46:55.917216,2026-02-13 07:00:10,2026-02-13 07:00:10
1954,rosemontrealestate.com,buildium,signin.managebuilding.com,high,link_redirect:followed_link:property management,0,,,2026-02-02T03:48:00.645388,2026-02-13 07:00:10,2026-02-13 07:00:10
1955,sgsmgmt.com,appfolio,sgs.appfolio.com,high,homepage_fetch,1,http://www.sgsmgmt.com,,2026-02-02T03:49:01.688037,2026-02-13 07:00:10,2026-02-13 07:00:10
1956,nextlevelrentals.net,appfolio,nextlevel.appfolio.com,high,homepage_fetch,1,http://nextlevelrentals.net,,2026-02-02T03:50:12.627881,2026-02-13 07:00:10,2026-02-13 07:00:10
1957,primerpminc.com,propertyware,app.propertyware.com,high,homepage_fetch,0,,,2026-02-02T03:50:58.144879,2026-02-13 07:00:10,2026-02-13 07:00:10
1958,tjbmanagement.com,buildium,tjbmanagementllc.managebuilding.com,high,homepage_fetch,0,,,2026-02-02T03:50:59.220088,2026-02-13 07:00:10,2026-02-13 07:00:10
1959,pmikeybridge.com,rentvine,pmikeybridge.rentvine.com,high,homepage_fetch,0,,,2026-02-02T03:51:49.447868,2026-02-13 07:00:10,2026-02-13 07:00:10
1960,simplymgt.com,appfolio,simplymgt.appfolio.com,low,homepage_fetch,0,,,2026-02-02T03:51:51.898182,2026-02-13 07:00:10,2026-02-13 07:00:10
1961,pmeproperties.com,appfolio,pmexperts.appfolio.com,high,homepage_fetch,1,http://www.pmeproperties.com,,2026-02-02T03:51:54.276468,2026-02-13 07:00:10,2026-02-13 07:00:10
1962,nesbitt.management,custom:nesbitt.services,,medium,homepage_custom_portal,0,,,2026-02-02T03:51:57.333261,2026-02-13 07:00:10,2026-02-13 07:00:10
1964,spotonmanagement.net,appfolio,spotonpm.appfolio.com,medium,subdomain_probe,0,,,2026-02-02T03:52:45.099869,2026-02-13 07:00:10,2026-02-13 07:00:10
1966,thsld.com,rentvine,account.rentvine.com,high,homepage_fetch,0,,,2026-02-02T03:53:39.033497,2026-02-13 07:00:10,2026-02-13 07:00:10
1967,metrofla.com,rentmanager,mrl.owa.rentmanager.com,high,homepage_fetch,0,,,2026-02-02T03:53:43.630433,2026-02-13 07:00:10,2026-02-13 07:00:10
1969,sharpeproperties.com,propertyware,app.propertyware.com,high,homepage_fetch,0,,,2026-02-02T03:54:02.814750,2026-02-13 07:00:10,2026-02-13 07:00:10
1971,pg-homes.com,appfolio,pgmanagementgroup.appfolio.com,high,homepage_fetch,1,http://www.pg-homes.com,,2026-02-02T03:54:10.242298,2026-02-13 07:00:10,2026-02-13 07:00:10
1972,mrmvr.com,guesty,,high,homepage_fetch,0,,,2026-02-02T03:54:12.000731,2026-02-13 07:00:10,2026-02-13 07:00:10
1973,parkpl.co,appfolio,parkplpm.appfolio.com,medium,subdomain_probe,0,,,2026-02-02T03:54:16.056238,2026-02-13 07:00:10,2026-02-13 07:00:10
1975,rentcare.net,appfolio,rentcare.appfolio.com,high,homepage_fetch,1,http://www.rentcare.net,,2026-02-02T03:57:00.566551,2026-02-13 07:00:10,2026-02-13 07:00:10
1976,orlandopropertymanagementexecs.com,appfolio,condometropolis.appfolio.com,high,homepage_fetch,1,http://www.orlandopropertymanagementexecs.com,,2026-02-02T03:57:02.322597,2026-02-13 07:00:10,2026-02-13 07:00:10
1977,parksideorlando.com,buildium,parksidemanagement.managebuilding.com,high,secondary_page:/tenant-portal-login,0,,,2026-02-02T03:57:14.936191,2026-02-13 07:00:10,2026-02-13 07:00:10
1978,orlandorentz.com,appfolio,orlandorentz.appfolio.com,low,homepage_fetch,0,,,2026-02-02T03:57:43.687683,2026-02-13 07:00:10,2026-02-13 07:00:10
1979,orlandoproperty.management,appfolio,orlando.appfolio.com,medium,subdomain_probe,0,,,2026-02-02T03:57:05.464644,2026-02-13 07:00:10,2026-02-13 07:00:10
1980,propertymanagementkissimmee.com,buildium,rch.managebuilding.com,high,homepage_fetch,0,,,2026-02-02T03:58:38.646895,2026-02-13 07:00:10,2026-02-13 07:00:10
1981,tophousingre.com,rentvine,top-housing-real-estate.rentvine.com,high,homepage_fetch,0,,,2026-02-02T03:58:41.052346,2026-02-13 07:00:10,2026-02-13 07:00:10
1983,rodriguezpropertymanagement.com,buildium,ivettehomes.managebuilding.com,high,secondary_page:/client-login,0,,,2026-02-02T03:59:09.366501,2026-02-13 07:00:10,2026-02-13 07:00:10
1984,ontimerents.com,rentvine,house2home.rentvine.com,high,homepage_fetch,0,,,2026-02-02T03:59:43.825522,2026-02-13 07:00:10,2026-02-13 07:00:10
1985,rpm-empire.com,appfolio,RPMFL056.appfolio.com,high,secondary_page:/tenants/,1,http://rpm-empire.com,,2026-02-02T04:00:08.499581,2026-02-13 07:00:10,2026-02-13 07:00:10
1986,rexrentals.com,rentmanager,rex.owa.rentmanager.com,high,homepage_fetch,0,,,2026-02-02T04:00:13.872323,2026-02-13 07:00:10,2026-02-13 07:00:10
1988,oceanbluefloridapm.com,appfolio,oceanbluemanagement.appfolio.com,high,homepage_fetch,1,http://www.oceanbluefloridapm.com,,2026-02-02T04:00:48.670776,2026-02-13 07:00:10,2026-02-13 07:00:10
1989,residentialrentalsfl.com,appfolio,,high,homepage_fetch,0,,,2026-02-02T04:01:47.681281,2026-02-13 07:00:10,2026-02-13 07:00:10
1990,proactivefl.com,cincwebaxis,proactivefl.cincwebaxis.com,high,homepage_fetch,0,,,2026-02-02T04:01:58.810076,2026-02-13 07:00:10,2026-02-13 07:00:10
1991,uniquepropertyservices.com,buildium,dkrug.managebuilding.com,high,homepage_fetch,0,,,2026-02-02T04:02:01.917708,2026-02-13 07:00:10,2026-02-13 07:00:10
1992,rentworkspm.com,appfolio,rentworkspm.appfolio.com,medium,subdomain_probe,0,,,2026-02-02T04:01:15.692950,2026-02-13 07:00:10,2026-02-13 07:00:10
1993,rpmtradewinds.com,appfolio,rpmfl041.appfolio.com,high,secondary_page:/tenants/,1,http://www.rpmtradewinds.com,,2026-02-02T04:02:03.456540,2026-02-13 07:00:10,2026-02-13 07:00:10
1994,stressfreepropertymanagement.com,appfolio,stressfreepm.appfolio.com,low,homepage_fetch,0,,,2026-02-02T04:02:15.031780,2026-02-13 07:00:10,2026-02-13 07:00:10
1995,rpmcatalyst.com,appfolio,rpmfl074.appfolio.com,high,secondary_page:/tenants/,1,http://www.rpmcatalyst.com,,2026-02-02T04:03:46.188826,2026-02-13 07:00:10,2026-02-13 07:00:10
1996,skcpropertymanagement.com,buildium,skcpropertymanagement.managebuilding.com,high,homepage_fetch,0,,,2026-02-02T04:03:51.307332,2026-02-13 07:00:10,2026-02-13 07:00:10
